"","Province.State","Country.Region","Lat","Long","continent","day","month","year","date","deaths"
"203","","Algeria",28.0339,1.6596,NA,23,2,2020,2020-02-23,0
"204","","Algeria",28.0339,1.6596,NA,24,2,2020,2020-02-24,0
"205","","Algeria",28.0339,1.6596,NA,25,2,2020,2020-02-25,0
"206","","Algeria",28.0339,1.6596,NA,26,2,2020,2020-02-26,0
"207","","Algeria",28.0339,1.6596,NA,27,2,2020,2020-02-27,0
"208","","Algeria",28.0339,1.6596,NA,28,2,2020,2020-02-28,0
"209","","Algeria",28.0339,1.6596,NA,29,2,2020,2020-02-29,0
"210","","Algeria",28.0339,1.6596,NA,1,3,2020,2020-03-01,0
"211","","Algeria",28.0339,1.6596,NA,2,3,2020,2020-03-02,0
"212","","Algeria",28.0339,1.6596,NA,3,3,2020,2020-03-03,0
"213","","Algeria",28.0339,1.6596,NA,4,3,2020,2020-03-04,0
"214","","Algeria",28.0339,1.6596,NA,5,3,2020,2020-03-05,0
"215","","Algeria",28.0339,1.6596,NA,6,3,2020,2020-03-06,0
"216","","Algeria",28.0339,1.6596,NA,7,3,2020,2020-03-07,0
"217","","Algeria",28.0339,1.6596,NA,8,3,2020,2020-03-08,0
"218","","Algeria",28.0339,1.6596,NA,9,3,2020,2020-03-09,0
"219","","Algeria",28.0339,1.6596,NA,10,3,2020,2020-03-10,0
"220","","Algeria",28.0339,1.6596,NA,11,3,2020,2020-03-11,0
"221","","Algeria",28.0339,1.6596,NA,12,3,2020,2020-03-12,1
"222","","Algeria",28.0339,1.6596,NA,13,3,2020,2020-03-13,2
"223","","Algeria",28.0339,1.6596,NA,14,3,2020,2020-03-14,3
"224","","Algeria",28.0339,1.6596,NA,15,3,2020,2020-03-15,4
"225","","Algeria",28.0339,1.6596,NA,16,3,2020,2020-03-16,4
"226","","Algeria",28.0339,1.6596,NA,17,3,2020,2020-03-17,4
"227","","Algeria",28.0339,1.6596,NA,18,3,2020,2020-03-18,7
"228","","Algeria",28.0339,1.6596,NA,19,3,2020,2020-03-19,9
"229","","Algeria",28.0339,1.6596,NA,20,3,2020,2020-03-20,11
"230","","Algeria",28.0339,1.6596,NA,21,3,2020,2020-03-21,15
"231","","Algeria",28.0339,1.6596,NA,22,3,2020,2020-03-22,17
"232","","Algeria",28.0339,1.6596,NA,23,3,2020,2020-03-23,17
"233","","Algeria",28.0339,1.6596,NA,24,3,2020,2020-03-24,19
"234","","Algeria",28.0339,1.6596,NA,25,3,2020,2020-03-25,21
"235","","Algeria",28.0339,1.6596,NA,26,3,2020,2020-03-26,25
"236","","Algeria",28.0339,1.6596,NA,27,3,2020,2020-03-27,26
"237","","Algeria",28.0339,1.6596,NA,28,3,2020,2020-03-28,29
"238","","Algeria",28.0339,1.6596,NA,29,3,2020,2020-03-29,31
"239","","Algeria",28.0339,1.6596,NA,30,3,2020,2020-03-30,35
"240","","Algeria",28.0339,1.6596,NA,31,3,2020,2020-03-31,44
"241","","Algeria",28.0339,1.6596,NA,1,4,2020,2020-04-01,58
"242","","Algeria",28.0339,1.6596,NA,2,4,2020,2020-04-02,86
"243","","Algeria",28.0339,1.6596,NA,3,4,2020,2020-04-03,105
"244","","Algeria",28.0339,1.6596,NA,4,4,2020,2020-04-04,130
"245","","Algeria",28.0339,1.6596,NA,5,4,2020,2020-04-05,152
"246","","Algeria",28.0339,1.6596,NA,6,4,2020,2020-04-06,173
"247","","Algeria",28.0339,1.6596,NA,7,4,2020,2020-04-07,193
"248","","Algeria",28.0339,1.6596,NA,8,4,2020,2020-04-08,205
"249","","Algeria",28.0339,1.6596,NA,9,4,2020,2020-04-09,235
"250","","Algeria",28.0339,1.6596,NA,10,4,2020,2020-04-10,256
"251","","Algeria",28.0339,1.6596,NA,11,4,2020,2020-04-11,275
"252","","Algeria",28.0339,1.6596,NA,12,4,2020,2020-04-12,293
"253","","Algeria",28.0339,1.6596,NA,13,4,2020,2020-04-13,313
"254","","Algeria",28.0339,1.6596,NA,14,4,2020,2020-04-14,326
"255","","Algeria",28.0339,1.6596,NA,15,4,2020,2020-04-15,336
"256","","Andorra",42.5063,1.5218,NA,22,1,2020,2020-01-22,0
"257","","Andorra",42.5063,1.5218,NA,23,1,2020,2020-01-23,0
"258","","Andorra",42.5063,1.5218,NA,24,1,2020,2020-01-24,0
"259","","Andorra",42.5063,1.5218,NA,25,1,2020,2020-01-25,0
"260","","Andorra",42.5063,1.5218,NA,26,1,2020,2020-01-26,0
"261","","Andorra",42.5063,1.5218,NA,27,1,2020,2020-01-27,0
"262","","Andorra",42.5063,1.5218,NA,28,1,2020,2020-01-28,0
"263","","Andorra",42.5063,1.5218,NA,29,1,2020,2020-01-29,0
"264","","Andorra",42.5063,1.5218,NA,30,1,2020,2020-01-30,0
"265","","Andorra",42.5063,1.5218,NA,31,1,2020,2020-01-31,0
"266","","Andorra",42.5063,1.5218,NA,1,2,2020,2020-02-01,0
"267","","Andorra",42.5063,1.5218,NA,2,2,2020,2020-02-02,0
"268","","Andorra",42.5063,1.5218,NA,3,2,2020,2020-02-03,0
"269","","Andorra",42.5063,1.5218,NA,4,2,2020,2020-02-04,0
"270","","Andorra",42.5063,1.5218,NA,5,2,2020,2020-02-05,0
"271","","Andorra",42.5063,1.5218,NA,6,2,2020,2020-02-06,0
"272","","Andorra",42.5063,1.5218,NA,7,2,2020,2020-02-07,0
"273","","Andorra",42.5063,1.5218,NA,8,2,2020,2020-02-08,0
"274","","Andorra",42.5063,1.5218,NA,9,2,2020,2020-02-09,0
"275","","Andorra",42.5063,1.5218,NA,10,2,2020,2020-02-10,0
"276","","Andorra",42.5063,1.5218,NA,11,2,2020,2020-02-11,0
"277","","Andorra",42.5063,1.5218,NA,12,2,2020,2020-02-12,0
"278","","Andorra",42.5063,1.5218,NA,13,2,2020,2020-02-13,0
"279","","Andorra",42.5063,1.5218,NA,14,2,2020,2020-02-14,0
"280","","Andorra",42.5063,1.5218,NA,15,2,2020,2020-02-15,0
"281","","Andorra",42.5063,1.5218,NA,16,2,2020,2020-02-16,0
"282","","Andorra",42.5063,1.5218,NA,17,2,2020,2020-02-17,0
"283","","Andorra",42.5063,1.5218,NA,18,2,2020,2020-02-18,0
"284","","Andorra",42.5063,1.5218,NA,19,2,2020,2020-02-19,0
"285","","Andorra",42.5063,1.5218,NA,20,2,2020,2020-02-20,0
"286","","Andorra",42.5063,1.5218,NA,21,2,2020,2020-02-21,0
"287","","Andorra",42.5063,1.5218,NA,22,2,2020,2020-02-22,0
"288","","Andorra",42.5063,1.5218,NA,23,2,2020,2020-02-23,0
"289","","Andorra",42.5063,1.5218,NA,24,2,2020,2020-02-24,0
"290","","Andorra",42.5063,1.5218,NA,25,2,2020,2020-02-25,0
"291","","Andorra",42.5063,1.5218,NA,26,2,2020,2020-02-26,0
"292","","Andorra",42.5063,1.5218,NA,27,2,2020,2020-02-27,0
"293","","Andorra",42.5063,1.5218,NA,28,2,2020,2020-02-28,0
"294","","Andorra",42.5063,1.5218,NA,29,2,2020,2020-02-29,0
"295","","Andorra",42.5063,1.5218,NA,1,3,2020,2020-03-01,0
"296","","Andorra",42.5063,1.5218,NA,2,3,2020,2020-03-02,0
"297","","Andorra",42.5063,1.5218,NA,3,3,2020,2020-03-03,0
"298","","Andorra",42.5063,1.5218,NA,4,3,2020,2020-03-04,0
"299","","Andorra",42.5063,1.5218,NA,5,3,2020,2020-03-05,0
"300","","Andorra",42.5063,1.5218,NA,6,3,2020,2020-03-06,0
"301","","Andorra",42.5063,1.5218,NA,7,3,2020,2020-03-07,0
"302","","Andorra",42.5063,1.5218,NA,8,3,2020,2020-03-08,0
"303","","Andorra",42.5063,1.5218,NA,9,3,2020,2020-03-09,0
"304","","Andorra",42.5063,1.5218,NA,10,3,2020,2020-03-10,0
